,PmtNo,BuyersPrice,SellersPrice,PNL,Rev,Exp,MtgBegBal,MtgPrinPaid,MtgIntPaid,MtgPrinArr,MtgIntArr,MtgEndBal,ArrBegBal,ArrAdded,ArrPaid,ArrForgiven,ArrEndBal,FinCost,DDCost,AcqCost,ServCost,FCCost,RehabCost,BK13Cost,SalesCommission,FirstLienPmt,AmortBegBal,AmortPrinDue,AmortIntDue,AmortEndBal
2024-01-01,74,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25995.82754739817,49.823611329302366,395.776388670802,25946.003936068868
2024-02-01,75,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25946.003936068868,50.58215648149053,395.0178435186427,25895.421779587377
2024-03-01,76,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25895.421779587377,51.35225018926576,394.24774981083806,25844.06952939811
2024-04-01,77,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25844.06952939811,52.134068275016034,393.4659317251099,25791.935461123096
2024-05-01,78,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25791.935461123096,52.92778923775768,392.6722107623522,25739.007671885338
2024-06-01,79,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25739.007671885338,53.73359429424454,391.86640570588094,25685.274077591093
2024-07-01,80,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25685.274077591093,54.551667420062586,391.0483325800571,25630.72241017103
2024-08-01,81,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25630.72241017103,55.38219539183774,390.2178046082848,25575.340214779193
2024-09-01,82,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25575.340214779193,56.22536782975658,389.3746321703665,25519.114846949436
2024-10-01,83,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25519.114846949436,57.08137724090193,388.518622759211,25462.033469708535
2024-11-01,84,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25462.033469708535,57.950419063228765,387.6495809368813,25404.083050645306
